grupo_etario,sexo,semana,semana_texto,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom
30-49,Hombre,13,29 Mar - 04 Apr 20,4,inf,0.6
30-49,Hombre,14,05 Apr - 11 Apr 20,2,-50.0,0.3
30-49,Hombre,15,12 Apr - 18 Apr 20,2,0.0,0.3
30-49,Hombre,16,19 Apr - 25 Apr 20,2,0.0,0.3
30-49,Hombre,17,26 Apr - 02 May 20,7,250.0,1.0
30-49,Hombre,18,03 May - 09 May 20,10,42.9,1.4
30-49,Hombre,19,10 May - 16 May 20,20,100.0,2.9
30-49,Hombre,20,17 May - 23 May 20,29,45.0,4.1
30-49,Hombre,21,24 May - 30 May 20,52,79.3,7.4
30-49,Hombre,22,31 May - 06 Jun 20,47,-9.6,6.7
30-49,Hombre,23,07 Jun - 13 Jun 20,63,34.0,9.0
30-49,Hombre,24,14 Jun - 20 Jun 20,46,-27.0,6.6
30-49,Hombre,25,21 Jun - 27 Jun 20,38,-17.4,5.4
30-49,Hombre,26,28 Jun - 04 Jul 20,37,-2.6,5.3
30-49,Hombre,27,05 Jul - 11 Jul 20,36,-2.7,5.1
30-49,Hombre,28,12 Jul - 18 Jul 20,23,-36.1,3.3
30-49,Hombre,29,19 Jul - 25 Jul 20,27,17.4,3.9
30-49,Hombre,30,26 Jul - 01 Aug 20,20,-25.9,2.9
30-49,Hombre,31,02 Aug - 08 Aug 20,9,-55.0,1.3
30-49,Hombre,32,09 Aug - 15 Aug 20,15,66.7,2.1
30-49,Hombre,33,16 Aug - 22 Aug 20,16,6.7,2.3
30-49,Hombre,34,23 Aug - 29 Aug 20,12,-25.0,1.7
30-49,Hombre,35,30 Aug - 05 Sep 20,15,25.0,2.1
30-49,Hombre,36,06 Sep - 12 Sep 20,11,-26.7,1.6
30-49,Hombre,37,13 Sep - 19 Sep 20,11,0.0,1.6
30-49,Hombre,38,20 Sep - 26 Sep 20,10,-9.1,1.4
30-49,Hombre,39,27 Sep - 03 Oct 20,8,-20.0,1.1
30-49,Hombre,40,04 Oct - 10 Oct 20,11,37.5,1.6
30-49,Hombre,41,11 Oct - 17 Oct 20,10,-9.1,1.4
30-49,Hombre,42,18 Oct - 24 Oct 20,15,50.0,2.1
30-49,Hombre,43,25 Oct - 31 Oct 20,15,0.0,2.1
30-49,Hombre,44,01 Nov - 07 Nov 20,9,-40.0,1.3
