grupo_etario,semana,semana_texto,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom
30-49,13,29 Mar - 04 Apr 20,4,inf,0.6
30-49,14,05 Apr - 11 Apr 20,3,-25.0,0.4
30-49,15,12 Apr - 18 Apr 20,2,-33.3,0.3
30-49,16,19 Apr - 25 Apr 20,7,250.0,1.0
30-49,17,26 Apr - 02 May 20,11,57.1,1.6
30-49,18,03 May - 09 May 20,15,36.4,2.1
30-49,19,10 May - 16 May 20,29,93.3,4.1
30-49,20,17 May - 23 May 20,45,55.2,6.4
30-49,21,24 May - 30 May 20,68,51.1,9.7
30-49,22,31 May - 06 Jun 20,72,5.9,10.3
30-49,23,07 Jun - 13 Jun 20,95,31.9,13.6
30-49,24,14 Jun - 20 Jun 20,71,-25.3,10.1
30-49,25,21 Jun - 27 Jun 20,59,-16.9,8.4
30-49,26,28 Jun - 04 Jul 20,56,-5.1,8.0
30-49,27,05 Jul - 11 Jul 20,58,3.6,8.3
30-49,28,12 Jul - 18 Jul 20,37,-36.2,5.3
30-49,29,19 Jul - 25 Jul 20,36,-2.7,5.1
30-49,30,26 Jul - 01 Aug 20,31,-13.9,4.4
30-49,31,02 Aug - 08 Aug 20,18,-41.9,2.6
30-49,32,09 Aug - 15 Aug 20,24,33.3,3.4
30-49,33,16 Aug - 22 Aug 20,26,8.3,3.7
30-49,34,23 Aug - 29 Aug 20,26,0.0,3.7
30-49,35,30 Aug - 05 Sep 20,21,-19.2,3.0
30-49,36,06 Sep - 12 Sep 20,18,-14.3,2.6
30-49,37,13 Sep - 19 Sep 20,18,0.0,2.6
30-49,38,20 Sep - 26 Sep 20,22,22.2,3.1
30-49,39,27 Sep - 03 Oct 20,19,-13.6,2.7
30-49,40,04 Oct - 10 Oct 20,21,10.5,3.0
30-49,41,11 Oct - 17 Oct 20,20,-4.8,2.9
30-49,42,18 Oct - 24 Oct 20,16,-20.0,2.3
30-49,43,25 Oct - 31 Oct 20,22,37.5,3.1
30-49,44,01 Nov - 07 Nov 20,19,-13.6,2.7
30-49,45,08 Nov - 14 Nov 20,9,-52.6,1.3
30-49,46,15 Nov - 21 Nov 20,18,100.0,2.6
30-49,47,22 Nov - 28 Nov 20,17,-5.6,2.4
30-49,48,29 Nov - 05 Dec 20,12,-29.4,1.7
30-49,49,06 Dec - 12 Dec 20,18,50.0,2.6
30-49,50,13 Dec - 19 Dec 20,14,-22.2,2.0
30-49,51,20 Dec - 26 Dec 20,19,35.7,2.7
30-49,52,27 Dec - 02 Jan 21,28,47.4,4.0
30-49,53,03 Jan - 09 Jan 21,31,10.7,4.4
30-49,54,10 Jan - 16 Jan 21,28,-9.7,4.0
30-49,55,17 Jan - 23 Jan 21,27,-3.6,3.9
30-49,56,24 Jan - 30 Jan 21,26,-3.7,3.7
30-49,57,31 Jan - 06 Feb 21,36,38.5,5.1
30-49,58,07 Feb - 13 Feb 21,35,-2.8,5.0
